Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
kiimii-,,pv,secretly,,,,Kwiimii-wiicheewaawal.;He's hovering around them.,,,
miitsuw,,vai,eat,,,,Apih numiitsi.;I'll eat later.,,"related: miichuw, mhweew",
matahkeew,,vai,fight,,,,,,,
munumohktoonheew,,vai,mutter,,,,,,,
huluniixsuw,,vai,"speak Delaware, speak a native language",,,,,,,
muneew,,vai;vaio,drink (s.t.),,from Proto-Algonquian menwa,,,,,
pangpeew,,vii,drip,,,,,,,
wiipongwii-,,vp,"brown, grey",Colors,from pongw=dust?,,,,,
askaskwii-,,vp,green,Colors,,,,,,
tangii-,,vp,small,,,changii-,,,,
kshi-,,vp,"fast, quickly",,,,,,,
eeshii-,,vp,through,,,,,,,
pwaawii-,,vp,unable to,,,,,,,
xameew,,vta,feed s.o.,,,,Ndaxamaan ohpunal.;I fed her the potatoes.,,,
mhweew,,vta,eat s.t. animate,,,"miichuw, miitsuw",Mehch aa ngata-mhwaaw na aapulush.;I ate that apple already.,,,
miichuw,,vti3,eat s.t.,,,"miitsuw, mhweew",Kwiila-week -miichuwaak.;They didn't have anything to eat.,,,
